FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_SelectionMode
fish1+3+4+5+15,247.61,2670,133.5,20.0,20.0,124.43590488786532,69.91000124211965,36.93333333333333,8673.663253697381,384.7410621827058,202956,35479,398.776934767358,238.61458330891924,4696.511518076277,available
fish1+3+4+5+15,247.61,2784,139.2,20.0,20.0,119.76227875658212,69.91001312782599,36.53333333333333,7707.091391733029,340.96031771635074,165765,23531,390.9909185106066,238.21815394201283,3944.50907245262,available
fish1+3+4+5+15,247.61,2868,143.4,20.0,20.0,121.12542664486844,69.91001312782599,63.86666666666667,6139.628365566931,308.7513456979513,50497,88350,417.3251213948568,172.33713866626957,1599.6022600611263,available
fish1+3+4+5+15,247.61,2961,148.05,20.0,20.0,99.80081736454184,59.69437927463032,58.13333333333333,5321.4448236632525,285.0447716661105,51445,45677,420.6489323457505,229.1357714805497,1678.6847038263004,available
fish1+3+4+5+15,247.61,3074,153.7,20.0,20.0,105.46508146182846,57.17251170418722,63.86666666666667,4730.109973454682,274.1114364054348,52900,72553,415.1008702564192,228.0566503804419,1701.1575206368611,available
fish1+3+4+5+15,247.61,3220,161.0,20.0,20.0,96.10508772206964,65.67537367436405,63.86666666666667,5345.809632157754,287.3932512025206,57783,70564,442.4162174786415,224.71810542801745,1822.794322906659,available
fish1+3+4+5+15,247.61,3302,165.1,20.0,20.0,98.144009329807,66.7443978736547,56.53333333333333,5592.77588168373,289.1671376696642,78306,50555,431.77253249300736,244.5674607745701,2242.4599932675774,available
fish1+3+4+5+15,247.61,3404,170.2,20.0,20.0,100.48344913654893,66.79423464032239,37.06666666666666,5735.60864618885,289.9799545581711,77205,6329,440.494262577688,235.81858398351667,2220.412846561205,available
fish1+3+4+5+15,247.61,3467,173.35,20.0,20.0,103.01500950050918,69.91000124211965,43.73333333333333,6299.715585893059,296.3084415112058,119229,38323,424.1476899756915,233.0514876235855,3041.779177599277,available
fish1+3+4+5+15,247.61,3501,175.05,20.0,20.0,118.19905877353854,66.4550165814872,56.93333333333333,6523.208191126279,314.9721006551832,75018,31972,341.8440348740566,250.8290038085937,2093.0330386826504,available
fish1+3+4+5+15,247.61,3643,182.15,20.0,20.0,101.06767914579858,69.91001312782599,34.0,6284.338263177852,298.3138740734845,58814,32343,439.1632618374296,236.1016047922665,1851.544866629696,available
fish1+3+4+5+15,247.61,3684,184.2,20.0,20.0,99.09147841039731,59.94793704790052,63.86666666666667,4365.054986727341,267.9245539934051,24301,31266,432.1923807734548,241.21797525973847,1159.4303560331932,available
fish1+3+4+5+15,247.61,3855,192.75,20.0,20.0,80.59964894970938,66.95935681559807,34.13333333333333,3928.403488813045,260.0773444489942,14156,16128,460.2521214590379,239.43804022199848,982.8101616810364,available
fish1+3+4+5+15,247.61,3866,193.3,20.0,20.0,80.79072950762333,66.95951727263362,34.266666666666666,3934.24345847554,260.16937542672684,14415,15968,452.3264967370869,234.6170147632917,975.2435115003786,available
fish1+3+4+5+15,247.61,3956,197.8,20.0,20.0,80.58747204356794,66.76555443093314,28.133333333333333,3936.689419795221,260.89691200084314,14254,10240,437.853202179784,234.3085156178368,957.2417177976208,available
fish1+3+4+5+15,247.61,4138,206.9,20.0,20.0,80.59283843997873,66.76540585960393,30.8,3922.544558210088,259.60148961011714,12753,10718,460.7719097029322,239.8672363257409,955.6991460286732,available
fish1+3+4+5+15,247.61,4151,207.55,20.0,20.0,80.57871822085133,66.95876253028126,31.2,3920.610542282896,259.4163001375488,12969,10756,465.1058593315973,240.33494464847777,964.8208039800752,available
fish1+3+4+5+15,247.61,4237,211.85,20.0,20.0,80.41455878778888,66.78043533526606,29.73333333333333,3934.148653773226,259.78708361455784,12431,15493,459.43778643391926,239.55095376713007,947.6087402010494,available
fish1+3+4+5+15,247.61,4324,216.2,20.0,20.0,80.2311207390491,66.74676312921561,12.933333333333334,3934.129692832764,259.9150123272096,10059,3153,448.8923654414235,239.54844716176987,889.6208126031934,available
fish1+3+4+5+15,247.61,4447,222.35,20.0,20.0,82.07159859379726,64.85389902379063,2.6666666666666665,3869.852104664392,257.2600401207908,10220,477,460.7516926311727,241.10089515888416,906.2525877900569,available
fish1+3+4+5+15,247.61,4525,226.25,20.0,20.0,81.98360870979036,66.98898193864106,9.066666666666666,3860.2389078498286,257.1681094751339,10893,747,451.5956856914757,238.3256867828264,907.781372474302,available
fish3+4,143.15,63,3.15,20.0,20.0,23.50018085381128,8.1346784450003,5.866666666666666,160.9215017064846,55.91488465246832,2701,1394,435.79795958719126,254.34432941012903,744.1622889973203,available
fish3+4,143.15,191,9.55,20.0,20.0,109.85139441384668,57.47195424676832,38.93333333333333,4394.501327265832,269.4515255899784,28659,90920,396.6235109903783,358.6381054355198,1328.4416164258982,available
fish3+4,143.15,250,12.5,20.0,20.0,98.92768149137812,64.33080314508123,63.86666666666667,4528.991277967387,264.8798809083441,34058,162778,399.5711276882596,260.2591240742895,1340.9902517625492,available
fish3+4,143.15,377,18.85,20.0,20.0,95.47771854167271,68.03138215573863,32.4,4869.9279484262415,284.27898570507654,16035,1790,413.9319830887218,251.69698239846767,986.3289654871894,available
fish3+4,143.15,459,22.95,20.0,20.0,32.00619847902036,24.499857899483363,1.2,536.6894197952217,93.92698542170612,5255,113,411.41687851741466,247.8853514980316,764.4022300154462,available
fish3+4,143.15,1228,61.4,20.0,20.0,25.67095654478932,6.002394985420375,2.0,140.5953735305271,59.46168493204891,3044,364,420.5838580426062,253.15983396986857,734.6236920124747,available
fish3+4,143.15,1367,68.35,20.0,20.0,33.05046178058612,7.425298633740253,2.4,208.93060295790667,72.6944230905301,3472,1221,414.6169434129503,257.2462434812758,741.3031868942262,available
